date,portfolio_return
2005-01-04,-0.007104308391631777
2005-01-05,-0.000662262521495427
2005-01-06,0.00790636652062171
2005-01-07,0.0028244898873200823
2005-01-10,0.0017184916825498386
2005-01-11,-0.009492997707726752
2005-01-12,0.008679988430491632
2005-01-13,-0.0018491196615265189
2005-01-14,0.008014808461171705
2005-01-18,0.006054377077023683
2005-01-19,-0.006999873215799635
2005-01-20,-0.006487399743548939
2005-01-21,-0.004139420944437672
2005-01-24,0.00025245221260678885
2005-01-25,0.00931661292888166
2005-01-26,0.005723559556913225
2005-01-27,-0.0014261935493188693
2005-01-28,0.0007740618832628264
2005-01-31,0.008936422878118891
2005-02-01,0.008712973793305
2005-02-02,0.008625056444664131
2005-02-03,0.0008880248977969164
2005-02-04,0.008378801165237712
2005-02-07,-0.0039065162307152235
2005-02-08,0.003785543805124903
2005-02-09,-0.007728388458792515
2005-02-10,0.007557615429321539
2005-02-11,0.007753933372001279
2005-02-14,0.00596585864228924
2005-02-15,0.005303671493223805
2005-02-16,0.005220086915926819
2005-02-17,-0.010521093163229493
2005-02-18,-8.895632708276003e-05
2005-02-22,-0.014450553382377941
2005-02-23,0.012412337802762184
2005-02-24,0.010347614398599991
2005-02-25,0.011624470234801435
2005-02-28,-0.004545054148009801
2005-03-01,0.002766281387563241
2005-03-02,0.0010931890603120922
2005-03-03,-0.003910079455238884
2005-03-04,0.013754701066848654
2005-03-07,-0.0015577666805851689
2005-03-08,-0.007461602468529654
2005-03-09,-0.01519457461166096
2005-03-10,0.0024402194609878056
2005-03-11,-0.0037561229093671924
2005-03-14,0.002615041860483558
2005-03-15,-0.00299188650183993
2005-03-16,-0.003730535525984244
2005-03-17,0.0065181870787236924
2005-03-18,0.003159808230747139
2005-03-21,-0.0022700184437113207
2005-03-22,-0.010728522836625195
2005-03-23,-0.002474118799801574
2005-03-24,-0.0016342118797381213
2005-03-28,0.0011609052215602689
2005-03-29,-0.011783587539226231
2005-03-30,0.015908062515142075
2005-03-31,-0.004675475481387275
2005-04-01,-0.003171181223512972
2005-04-04,0.00251459563639476
2005-04-05,0.005678399636849619
2005-04-06,0.008172850983534227
2005-04-07,0.0106519243718029
2005-04-08,-0.007966336699828963
2005-04-11,-0.003840205216088735
2005-04-12,0.004101659112181652
2005-04-13,-0.01596984062422561
2005-04-14,-0.01767923308347852
2005-04-15,-0.019453245298571675
2005-04-18,0.003176855924109961
2005-04-19,0.014050726444852845
2005-04-20,-0.014564987142250406
2005-04-21,0.019779911979734312
2005-04-22,-0.006250084518607155
2005-04-25,0.009434138474923673
2005-04-26,-0.008437733636784055
2005-04-27,0.0012280024546330872
2005-04-28,-0.012617568774106662
2005-04-29,0.014220632676496599
2005-05-02,0.004815672290515263
2005-05-03,-0.003473938698846832
2005-05-04,0.009074755491672571
2005-05-05,-0.0012032759267779451
2005-05-06,0.0038820378607234973
2005-05-09,0.00354561345576046
2005-05-10,-0.0116600805835886
2005-05-11,0.0039284595418908235
2005-05-12,-0.016149776160091556
2005-05-13,-0.007614568057763661
2005-05-16,0.007680124989991997
2005-05-17,0.006133823870441896
2005-05-18,0.008553203646832125
2005-05-19,0.010370622125989456
2005-05-20,-0.0028327126584875018
2005-05-23,0.008427883024173669
2005-05-24,-0.0012885207716076263
2005-05-25,-0.0037980220167203034
2005-05-26,0.005820364991916775
2005-05-27,0.0015001138445396487
2005-05-31,-0.006462092329703146
2005-06-01,0.009619576304767478
2005-06-02,0.0008991578744230549
2005-06-03,-0.009896369367725292
2005-06-06,0.0006527877867533635
2005-06-07,-0.0007475308677583978
2005-06-08,-0.0005092480162646189
