date,hs_var99,hs_es975,param_var99,param_es975,garch_var99,garch_es975
2005-12-30,0.016386872800604038,0.016518046921989143,0.016697975787070204,0.016784041053233043,0.014792826833917893,0.014910819029611264
2006-01-03,0.016386872800604038,0.016518046921989143,0.016660571454055494,0.016746514674719035,0.014790972733229777,0.014924949575471805
2006-01-04,0.016386872800604038,0.016518046921989143,0.016779841545709297,0.016866753885374678,0.019327288141129818,0.019441977809095182
2006-01-05,0.016386872800604038,0.016518046921989143,0.0167732092893349,0.016859976293157206,0.017804917092353573,0.01783217631657639
2006-01-06,0.016386872800604038,0.016518046921989143,0.016797446608644327,0.01688423177022935,0.01696615193054932,0.016970624332237016
2006-01-09,0.016386872800604038,0.016518046921989143,0.01683741437895797,0.016924608804845635,0.01793833225046539,0.017992306807085166
2006-01-10,0.016386872800604038,0.016518046921989143,0.01672625680456993,0.01681312745958334,0.016964663029053757,0.01701024233448366
2006-01-11,0.016386872800604038,0.016518046921989143,0.016728118951995476,0.016815005141294446,0.01705077846475599,0.017093291748498822
2006-01-12,0.016386872800604038,0.016518046921989143,0.016705786656148254,0.01679267734516424,0.01636822516709397,0.016421248777582446
2006-01-13,0.016386872800604038,0.016518046921989143,0.016727057272997146,0.01681383850787715,0.015957454469795462,0.015998774660802757
2006-01-17,0.016386872800604038,0.016518046921989143,0.016726113629386107,0.016812823392412687,0.015424156444648058,0.015482540463462535
2006-01-18,0.016386872800604038,0.016518046921989143,0.01666502003865279,0.01675154967329563,0.015059146520415364,0.015149141763447439
2006-01-19,0.016386872800604038,0.016518046921989143,0.016653952769268027,0.016740445197923854,0.015479591947772054,0.015573213827604614
2006-01-20,0.016386872800604038,0.016518046921989143,0.016616043209160783,0.016702458264546485,0.015052333054988655,0.015166758209941624
2006-01-23,0.01715759792406033,0.017718600992296527,0.017057625848928573,0.017145757887342555,0.02202812975006932,0.023154410924228094
2006-01-24,0.01715759792406033,0.017718600992296527,0.01704193430373842,0.017129907878500723,0.01987653474881687,0.02105159845952572
2006-01-25,0.01715759792406033,0.017718600992296527,0.01706367268322819,0.01715159922298177,0.01865519164087658,0.019811164108244746
2006-01-26,0.01715759792406033,0.017718600992296527,0.017075761174982176,0.01716371614544029,0.017898186861908652,0.018994487472369082
2006-01-27,0.01715759792406033,0.017718600992296527,0.01708867708947079,0.01717687303648727,0.017969140871274315,0.019025846265194324
2006-01-30,0.01715759792406033,0.017718600992296527,0.017137244926447835,0.017225785610929953,0.018942747996479953,0.020092041322036795
2006-01-31,0.01715759792406033,0.017718600992296527,0.017124918581540263,0.01721332252528815,0.018120481001240935,0.01924255662089641
2006-02-01,0.01715759792406033,0.017718600992296527,0.017115921944726456,0.0172041466534823,0.01736722313152153,0.01843857420484344
2006-02-02,0.01715759792406033,0.017718600992296527,0.017109958401975146,0.01719820301812107,0.016833392107462306,0.017818053618009453
